_NATIVE 日本語
_CODE Jp
_CHARSET Japanese
MENU_NEW 新規開始
MENU_PLAY 開始
MENU_LOAD ロード
MENU_OPTIONS 設定
MENU_CREDITS クレジット
MENU_EXIT EXIT
MENU_ACTIVE アクティブモジュール
MENU_INACTIVE 非アクティブなモジュール
MENU_SELECT_MOD モジュールを選択
MENU_MOD モジュール
MENU_ONE_MOD 新しいゲームを開始する前に、少なくとも1つのアクティブなモジュールが必要です
MENU_NO_MOD Modが見つかりません。\nオプションメニューでデータパスが正しく構成されていることを確認してください。
MENU_TUTORIAL このゲームをするのは初めてですか?\nチュートリアルをプレイしてゲームの基礎を学びましょう！
MENU_PLAY_TUTORIAL チュートリアル
MENU_SKIP_TUTORIAL チュートリアルをスキップする
MENU_REALY_QUIT 本当に終了してよろしいですか?
MENU_YES はい
MENU_NO いいえ
MENU_OPTIONS_VIDEO ディスプレイ設定
MENU_OPTIONS_PATH_ITEM_PROGRAM ユーザーパス
MENU_OPTIONS_PATH_ITEM_PERSISTENT データパス
MENU_OPTIONS_PATH_PROGRAM Path: ユーザー
MENU_OPTIONS_PATH_PERSISTENT Path: データ
MENU_OPTIONS_PATH_TOOLTIP データを保存する場所を選択します。\n現在: 
MENU_OPTIONS_LANGUAGE 言語: 
MENU_OPTIONS_MUSIC 音量設定: 
MENU_OPTIONS_SFX 効果音設定: 
MENU_OPTIONS_EVENT_SOUND イベントサウンド: 
MENU_OPTIONS_SCREEN 画面: 
MENU_OPTIONS_SCREEN_FULL フルスクリーン
MENU_OPTIONS_SCREEN_WINDOW ウィンドウ
MENU_OPTIONS_DISPLAY ディスプレイ: 
MENU_OPTIONS_DISPLAY_ITEM ディスプレイ 
MENU_OPTIONS_RESOLUTION 解像度: 
MENU_OPTIONS_AUTOSAVE オートセーブ: 
MENU_OPTIONS_ON On
MENU_OPTIONS_OFF Off
MENU_WORKSHOP_SUBSCRIBED_LIST サブスクライブ
MENU_WORKSHOP_UPLOAD_LIST Steamにアップロード
MENU_WORKSHOP_PUBLISH 公開する
MENU_WORKSHOP_PUBLISH_UPDATE 更新
MENU_WORKSHOP_PUBLISH_PUBLIC みんなで
MENU_WORKSHOP_PUBLISH_PRIVATE 個人用
MENU_WORKSHOP_PUBLISH_FRIENDS フレンドのみ
MENU_WORKSHOP_PUBLISH_TITLE タイトル...
MENU_WORKSHOP_PUBLISH_DESCRIPTION 説明...
MENU_WORKSHOP_PUBLISH_CHANGELOG 更新履歴...
MENU_WORKSHOP_PUBLISH_LANGUAGE 言語...
MENU_WORKSHOP_PUBLISH_PREVIEW プレビュー
MENU_WORKSHOP_PUBLISH_PREVIEW_TOOLTIP プレビュー画像（最大1MB)
MENU_WORKSHOP_PUBLISH_POLICY このModを公開すると、Workshopの利用規約に同意したことになります。
MENU_WORKSHOP_PUBLISH_UPLOAD [0]を公開中...
